55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	
1.56992	1.56992	1.56993	1.56993	1.56993	1.56993	1.56994	1.56994	1.56994	1.56995	1.56996	1.56996	1.56997	1.56998	1.56998	1.56999	1.57	1.57001	1.57002	1.57003	1.57004	1.57006	1.57007	1.57008	1.5701	1.57011	1.57012	1.57014	1.57015	1.57017	1.57019	1.5702	1.57022	1.57024	1.57025	1.57027	1.57029	1.57031	1.57033	1.57035	1.57037	1.57039	1.57041	1.57043	1.57045	1.57047	1.57049	1.57051	1.57054	1.57056	1.57058	1.5706	1.57063	1.57065	1.57067	1.57069	1.57072	1.57074	1.57076	1.57078	1.57081	1.57083	1.57085	1.57088	1.5709	1.57092	1.57094	1.57097	1.57099	1.57101	1.57103	1.57106	1.57108	1.5711	1.57112	1.57114	1.57116	1.57118	1.5712	1.57122	1.57124	1.57126	1.57128	1.5713	1.57132	1.57134	1.57136	1.57137	1.57139	1.57141	1.57142	1.57144	1.57145	1.57147	1.57148	1.5715	1.57151	1.57152	1.57154	1.57155	1.57156	1.57157	1.57158	1.57159	1.5716	1.57161	1.57162	1.57162	1.57163	1.57164	1.57164	1.57165	1.57165	1.57166	1.57166	1.57168	1.57155	1.57227	1.57389	1.57461	
0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	0.523599	
-1.56731	-1.5673	-1.5673	-1.5673	-1.56729	-1.56729	-1.56728	-1.56727	-1.56726	-1.56725	-1.56724	-1.56723	-1.56722	-1.5672	-1.56718	-1.56717	-1.56715	-1.56713	-1.56711	-1.56709	-1.56706	-1.56704	-1.56702	-1.56699	-1.56696	-1.56694	-1.56691	-1.56688	-1.56685	-1.56681	-1.56678	-1.56675	-1.56672	-1.56668	-1.56664	-1.56661	-1.56657	-1.56653	-1.5665	-1.56646	-1.56642	-1.56638	-1.56634	-1.56629	-1.56625	-1.56621	-1.56617	-1.56612	-1.56608	-1.56604	-1.56599	-1.56595	-1.5659	-1.56586	-1.56581	-1.56577	-1.56572	-1.56567	-1.56563	-1.56558	-1.56554	-1.56549	-1.56545	-1.5654	-1.56535	-1.56531	-1.56526	-1.56522	-1.56517	-1.56513	-1.56508	-1.56504	-1.565	-1.56495	-1.56491	-1.56487	-1.56483	-1.56479	-1.56474	-1.5647	-1.56466	-1.56463	-1.56459	-1.56455	-1.56451	-1.56448	-1.56444	-1.56441	-1.56437	-1.56434	-1.56431	-1.56427	-1.56424	-1.56421	-1.56419	-1.56416	-1.56413	-1.56411	-1.56408	-1.56406	-1.56403	-1.56401	-1.56399	-1.56397	-1.56395	-1.56394	-1.56392	-1.5639	-1.56389	-1.56388	-1.56387	-1.56386	-1.56385	-1.56384	-1.56383	-1.56383	-1.56382	-1.56382	-1.56382	-1.56382	
